ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
CYSGLYex_copy2,L-cysteine/glycine exchanger,"Transport, Extracellular",HFD,SCD,-0.2771227762919356,0.0,-0.2771227762919356,,,
CYSLYSL,L-Cystine Lysteine-lyase (deaminating),Cysteine Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CYSO,Cysteine oxidase,Taurine and hypotaurine metabolism,HFD,SCD,0.793713351673408,0.9931777833057521,-0.19946443163234417,,,
CYSSERNaEx,L-serine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYSTA,Cysteine transaminase,Cysteine Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CYSTAm,L-Cysteine:2-oxoglutarate aminotransferase,Cysteine Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CYSTGL,Cystathionine g lyase,Cysteine Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CYSTGLUex,L-cystine/L-glutamate exchanger,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYSTHRNaEx,L-cysteine/L-threonine Na-dependent exchange (Cys-L in),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYSTS,Cystathionine beta synthase,Methionine Metabolism,HFD,SCD,0.0,0.0,0.0,,,
CYSTSERex,L-cystine/glycine exchanger (cystine in),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYSt4,L-cysteine reversible transport via sodium symport,"Transport, Extracellular",HFD,SCD,0.23536814359007255,0.49578705093565434,-0.2604189073455818,,,
CYStec,L-cysteine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",HFD,SCD,0.1,0.1,0.0,,,
CYTD,Cytidine deaminase,Pyrimidine Catabolism,HFD,SCD,0.0,0.0,0.0,,,
CYTDK1,ATP:cytidine 5'-phosphotransferase,Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTDK2m,"Cytidine kinase (ATP), mitochondrial",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTDn,"Cytidine deaminase, nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTDt,Cytidine facilated transport in cytosol,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYTDt4,Cytidine transport in via sodium symport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYTDt5,Cytidine transport (1:2 Na/cytd cotransport),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
CYTDtl,Cytidine facilated transport from lysosome,"Transport, Lysosomal",HFD,SCD,0.0,0.0,0.0,,,
CYTDtm,Cytidine facilated transport in mitochondria,"Transport, Mitochondrial",HFD,SCD,0.0,0.0,0.0,,,
CYTDtn,Cytidine  transport in nucleus,"Transport, Nuclear",HFD,SCD,0.0,0.0,0.0,,,
CYTK1,Cytidylate kinase (CMP),Nucleotides,HFD,SCD,0.039352599218179324,0.003194679403720236,0.03615791981445909,,,
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK10n,"Cytidylate kinase (CMP,dGTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK11,"Cytidylate kinase (dCMP,dGTP)",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK11n,"Cytidylate kinase (dCMP,dGTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK12,"Cytidylate kinase (dCMP,dCTP)",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK12n,"Cytidylate kinase (dCMP,dCTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
